"generation","variant","count","S"
4001,3598,64,"0"
4001,4268,192,"0"
4001,4583,68,"0"
4001,4740,139,"0"
4001,4838,219,"0"
4001,4859,37,"0"
4001,4878,165,"0"
4001,4975,53,"0"
4001,5011,9,"0"
4001,5021,14,"0"
4001,5027,10,"0"
4001,5028,8,"0"
4001,5043,6,"0"
4001,5069,2,"0"
4001,5070,1,"0"
4001,5071,4,"0"
4001,5075,5,"0"
4001,5077,1,"0"
4001,5079,1,"0"
4001,5080,1,"0"
4001,5081,1,"0"
4002,3598,49,"0"
4002,4268,198,"0"
4002,4583,79,"0"
4002,4740,128,"0"
4002,4838,224,"0"
4002,4859,40,"0"
4002,4878,169,"0"
4002,4975,46,"0"
4002,5011,14,"0"
4002,5021,9,"0"
4002,5027,8,"0"
4002,5028,9,"0"
4002,5043,11,"0"
4002,5069,3,"0"
4002,5070,2,"0"
4002,5071,4,"0"
4002,5075,6,"0"
4002,5077,1,"0"
4003,3598,41,"0"
4003,4268,210,"0"
4003,4583,78,"0"
4003,4740,121,"0"
4003,4838,232,"0"
4003,4859,27,"0"
4003,4878,173,"0"
4003,4975,50,"0"
4003,5011,12,"0"
4003,5021,10,"0"
4003,5027,15,"0"
4003,5028,4,"0"
4003,5043,5,"0"
4003,5069,7,"0"
4003,5070,2,"0"
4003,5071,5,"0"
4003,5075,5,"0"
4003,5077,2,"0"
4003,5082,1,"0"
4004,3598,42,"0"
4004,4268,217,"0"
4004,4583,81,"0"
4004,4740,110,"0"
4004,4838,229,"0"
4004,4859,37,"0"
4004,4878,171,"0"
4004,4975,42,"0"
4004,5011,7,"0"
4004,5021,11,"0"
4004,5027,14,"0"
4004,5028,3,"0"
4004,5043,4,"0"
4004,5069,5,"0"
4004,5070,4,"0"
4004,5071,6,"0"
4004,5075,9,"0"
4004,5077,4,"0"
4004,5083,1,"0"
4004,5084,1,"0"
4004,5085,1,"0"
4004,5086,1,"0"
4005,3598,41,"0"
4005,4268,200,"0"
4005,4583,88,"0"
4005,4740,110,"0"
4005,4838,234,"0"
4005,4859,31,"0"
4005,4878,187,"0"
4005,4975,45,"0"
4005,5011,5,"0"
4005,5021,11,"0"
4005,5027,19,"0"
4005,5028,4,"0"
4005,5043,2,"0"
4005,5069,4,"0"
4005,5070,1,"0"
4005,5071,9,"0"
4005,5075,4,"0"
4005,5077,3,"0"
4005,5085,1,"0"
4005,5086,1,"0"
4006,3598,40,"0"
4006,4268,220,"0"
4006,4583,78,"0"
4006,4740,121,"0"
4006,4838,211,"0"
4006,4859,28,"0"
4006,4878,187,"0"
4006,4975,50,"0"
4006,5011,8,"0"
4006,5021,16,"0"
4006,5027,17,"0"
4006,5028,3,"0"
4006,5043,2,"0"
4006,5069,3,"0"
4006,5070,1,"0"
4006,5071,4,"0"
4006,5075,5,"0"
4006,5077,4,"0"
4006,5086,1,"0"
4006,5087,1,"0"
4007,3598,37,"0"
4007,4268,226,"0"
4007,4583,80,"0"
4007,4740,119,"0"
4007,4838,213,"0"
4007,4859,31,"0"
4007,4878,188,"0"
4007,4975,49,"0"
4007,5011,8,"0"
4007,5021,16,"0"
4007,5027,9,"0"
4007,5028,3,"0"
4007,5043,1,"0"
4007,5069,4,"0"
4007,5071,5,"0"
4007,5075,2,"0"
4007,5077,7,"0"
4007,5086,1,"0"
4007,5088,1,"0"
4008,3598,29,"0"
4008,4268,241,"0"
4008,4583,75,"0"
4008,4740,123,"0"
4008,4838,206,"0"
4008,4859,25,"0"
4008,4878,190,"0"
4008,4975,50,"0"
4008,5011,10,"0"
4008,5021,15,"0"
4008,5027,12,"0"
4008,5028,3,"0"
4008,5043,1,"0"
4008,5069,3,"0"
4008,5071,7,"0"
4008,5075,3,"0"
4008,5077,4,"0"
4008,5086,1,"0"
4008,5088,2,"0"
4009,3598,28,"0"
4009,4268,231,"0"
4009,4583,87,"0"
4009,4740,132,"0"
4009,4838,195,"0"
4009,4859,25,"0"
4009,4878,187,"0"
4009,4975,55,"0"
4009,5011,12,"0"
4009,5021,9,"0"
4009,5027,10,"0"
4009,5028,4,"0"
4009,5069,4,"0"
4009,5071,6,"0"
4009,5075,6,"0"
4009,5077,5,"0"
4009,5086,3,"0"
4009,5089,1,"0"
4010,3598,30,"0"
4010,4268,227,"0"
4010,4583,83,"0"
4010,4740,116,"0"
4010,4838,213,"0"
4010,4859,24,"0"
4010,4878,177,"0"
4010,4975,64,"0"
4010,5011,11,"0"
4010,5021,16,"0"
4010,5027,10,"0"
4010,5028,3,"0"
4010,5069,6,"0"
4010,5071,7,"0"
4010,5075,5,"0"
4010,5077,3,"0"
4010,5086,3,"0"
4010,5089,2,"0"
4011,3598,33,"0"
4011,4268,232,"0"
4011,4583,86,"0"
4011,4740,100,"0"
4011,4838,215,"0"
4011,4859,26,"0"
4011,4878,175,"0"
4011,4975,61,"0"
4011,5011,13,"0"
4011,5021,16,"0"
4011,5027,11,"0"
4011,5028,7,"0"
4011,5069,9,"0"
4011,5071,2,"0"
4011,5075,3,"0"
4011,5077,3,"0"
4011,5086,2,"0"
4011,5089,3,"0"
4011,5090,1,"0"
4011,5091,1,"0"
4011,5092,1,"0"
4012,3598,36,"0"
4012,4268,213,"0"
4012,4583,78,"0"
4012,4740,97,"0"
4012,4838,239,"0"
4012,4859,25,"0"
4012,4878,178,"0"
4012,4975,58,"0"
4012,5011,15,"0"
4012,5021,20,"0"
4012,5027,12,"0"
4012,5028,9,"0"
4012,5069,4,"0"
4012,5071,2,"0"
4012,5075,2,"0"
4012,5077,1,"0"
4012,5086,1,"0"
4012,5089,2,"0"
4012,5090,2,"0"
4012,5091,4,"0"
4012,5092,1,"0"
4012,5093,1,"0"
4013,3598,34,"0"
4013,4268,213,"0"
4013,4583,79,"0"
4013,4740,97,"0"
4013,4838,245,"0"
4013,4859,28,"0"
4013,4878,169,"0"
4013,4975,52,"0"
4013,5011,11,"0"
4013,5021,20,"0"
4013,5027,11,"0"
4013,5028,15,"0"
4013,5069,7,"0"
4013,5071,2,"0"
4013,5075,2,"0"
4013,5077,4,"0"
4013,5086,2,"0"
4013,5089,3,"0"
4013,5090,1,"0"
4013,5091,3,"0"
4013,5092,2,"0"
4014,3598,34,"0"
4014,4268,207,"0"
4014,4583,87,"0"
4014,4740,111,"0"
4014,4838,236,"0"
4014,4859,21,"0"
4014,4878,160,"0"
4014,4975,65,"0"
4014,5011,12,"0"
4014,5021,22,"0"
4014,5027,15,"0"
4014,5028,9,"0"
4014,5069,7,"0"
4014,5071,2,"0"
4014,5075,1,"0"
4014,5077,4,"0"
4014,5086,1,"0"
4014,5089,1,"0"
4014,5090,1,"0"
4014,5091,3,"0"
4014,5092,1,"0"
4015,3598,33,"0"
4015,4268,211,"0"
4015,4583,80,"0"
4015,4740,126,"0"
4015,4838,218,"0"
4015,4859,23,"0"
4015,4878,162,"0"
4015,4975,69,"0"
4015,5011,13,"0"
4015,5021,22,"0"
4015,5027,15,"0"
4015,5028,9,"0"
4015,5069,6,"0"
4015,5071,1,"0"
4015,5075,2,"0"
4015,5077,2,"0"
4015,5086,2,"0"
4015,5089,2,"0"
4015,5091,3,"0"
4015,5092,1,"0"
4016,3598,32,"0"
4016,4268,203,"0"
4016,4583,81,"0"
4016,4740,109,"0"
4016,4838,239,"0"
4016,4859,18,"0"
4016,4878,161,"0"
4016,4975,81,"0"
4016,5011,6,"0"
4016,5021,24,"0"
4016,5027,19,"0"
4016,5028,11,"0"
4016,5069,3,"0"
4016,5071,1,"0"
4016,5075,1,"0"
4016,5077,4,"0"
4016,5086,2,"0"
4016,5089,3,"0"
4016,5091,2,"0"
4017,3598,27,"0"
4017,4268,194,"0"
4017,4583,82,"0"
4017,4740,135,"0"
4017,4838,236,"0"
4017,4859,21,"0"
4017,4878,160,"0"
4017,4975,76,"0"
4017,5011,7,"0"
4017,5021,20,"0"
4017,5027,16,"0"
4017,5028,8,"0"
4017,5069,4,"0"
4017,5075,2,"0"
4017,5077,5,"0"
4017,5086,3,"0"
4017,5089,1,"0"
4017,5091,3,"0"
4018,3598,26,"0"
4018,4268,152,"0"
4018,4583,76,"0"
4018,4740,142,"0"
4018,4838,249,"0"
4018,4859,22,"0"
4018,4878,172,"0"
4018,4975,88,"0"
4018,5011,5,"0"
4018,5021,20,"0"
4018,5027,20,"0"
4018,5028,10,"0"
4018,5069,3,"0"
4018,5075,4,"0"
4018,5077,4,"0"
4018,5086,2,"0"
4018,5089,1,"0"
4018,5091,3,"0"
4018,5094,1,"0"
4019,3598,37,"0"
4019,4268,141,"0"
4019,4583,79,"0"
4019,4740,144,"0"
4019,4838,243,"0"
4019,4859,36,"0"
4019,4878,178,"0"
4019,4975,77,"0"
4019,5011,8,"0"
4019,5021,15,"0"
4019,5027,13,"0"
4019,5028,11,"0"
4019,5069,4,"0"
4019,5075,6,"0"
4019,5077,2,"0"
4019,5089,3,"0"
4019,5091,2,"0"
4019,5094,1,"0"
4020,3598,40,"0"
4020,4268,149,"0"
4020,4583,79,"0"
4020,4740,122,"0"
4020,4838,233,"0"
4020,4859,37,"0"
4020,4878,182,"0"
4020,4975,88,"0"
4020,5011,7,"0"
4020,5021,16,"0"
4020,5027,17,"0"
4020,5028,7,"0"
4020,5069,4,"0"
4020,5075,7,"0"
4020,5077,3,"0"
4020,5089,6,"0"
4020,5091,1,"0"
4020,5095,1,"0"
4020,5096,1,"0"
4021,3598,40,"0"
4021,4268,148,"0"
4021,4583,77,"0"
4021,4740,107,"0"
4021,4838,229,"0"
4021,4859,38,"0"
4021,4878,190,"0"
4021,4975,92,"0"
4021,5011,8,"0"
4021,5021,21,"0"
4021,5027,14,"0"
4021,5028,12,"0"
4021,5069,3,"0"
4021,5075,7,"0"
4021,5077,4,"0"
4021,5089,6,"0"
4021,5096,3,"0"
4021,5097,1,"0"
4022,3598,41,"0"
4022,4268,149,"0"
4022,4583,77,"0"
4022,4740,99,"0"
4022,4838,242,"0"
4022,4859,45,"0"
4022,4878,189,"0"
4022,4975,91,"0"
4022,5011,10,"0"
4022,5021,10,"0"
4022,5027,11,"0"
4022,5028,10,"0"
4022,5069,2,"0"
4022,5075,12,"0"
4022,5077,4,"0"
4022,5089,4,"0"
4022,5096,2,"0"
4022,5097,1,"0"
4022,5098,1,"0"
4023,3598,47,"0"
4023,4268,139,"0"
4023,4583,67,"0"
4023,4740,99,"0"
4023,4838,263,"0"
4023,4859,49,"0"
4023,4878,185,"0"
4023,4975,88,"0"
4023,5011,13,"0"
4023,5027,9,"0"
4023,5028,10,"0"
4023,5069,2,"0"
4023,5075,17,"0"
4023,5077,3,"0"
4023,5089,3,"0"
4023,5096,2,"0"
4023,5097,2,"0"
4023,5098,1,"0"
4023,5099,1,"0"
4024,3598,43,"0"
4024,4268,150,"0"
4024,4583,66,"0"
4024,4740,91,"0"
4024,4838,279,"0"
4024,4859,45,"0"
4024,4878,175,"0"
4024,4975,97,"0"
4024,5011,9,"0"
4024,5027,9,"0"
4024,5028,9,"0"
4024,5069,1,"0"
4024,5075,19,"0"
4024,5077,1,"0"
4024,5089,3,"0"
4024,5097,1,"0"
4024,5098,1,"0"
4024,5100,1,"0"
4025,3598,44,"0"
4025,4268,145,"0"
4025,4583,64,"0"
4025,4740,97,"0"
4025,4838,264,"0"
4025,4859,46,"0"
4025,4878,200,"0"
4025,4975,85,"0"
4025,5011,9,"0"
4025,5027,7,"0"
4025,5028,11,"0"
4025,5075,21,"0"
4025,5089,1,"0"
4025,5097,2,"0"
4025,5098,1,"0"
4025,5100,3,"0"
4026,3598,39,"0"
4026,4268,151,"0"
4026,4583,58,"0"
4026,4740,94,"0"
4026,4838,260,"0"
4026,4859,40,"0"
4026,4878,209,"0"
4026,4975,82,"0"
4026,5011,10,"0"
4026,5027,13,"0"
4026,5028,15,"0"
4026,5075,25,"0"
4026,5089,1,"0"
4026,5097,1,"0"
4026,5098,1,"0"
4026,5100,1,"0"
4027,3598,39,"0"
4027,4268,154,"0"
4027,4583,53,"0"
4027,4740,94,"0"
4027,4838,263,"0"
4027,4859,31,"0"
4027,4878,193,"0"
4027,4975,102,"0"
4027,5011,13,"0"
4027,5027,17,"0"
4027,5028,18,"0"
4027,5075,19,"0"
4027,5097,1,"0"
4027,5100,3,"0"
4028,3598,38,"0"
4028,4268,143,"0"
4028,4583,53,"0"
4028,4740,97,"0"
4028,4838,266,"0"
4028,4859,27,"0"
4028,4878,190,"0"
4028,4975,114,"0"
4028,5011,19,"0"
4028,5027,16,"0"
4028,5028,15,"0"
4028,5075,21,"0"
4028,5097,1,"0"
4029,3598,37,"0"
4029,4268,149,"0"
4029,4583,52,"0"
4029,4740,101,"0"
4029,4838,268,"0"
4029,4859,28,"0"
4029,4878,188,"0"
4029,4975,115,"0"
4029,5011,8,"0"
4029,5027,18,"0"
4029,5028,15,"0"
4029,5075,18,"0"
4029,5097,3,"0"
4030,3598,43,"0"
4030,4268,141,"0"
4030,4583,50,"0"
4030,4740,85,"0"
4030,4838,297,"0"
4030,4859,24,"0"
4030,4878,178,"0"
4030,4975,109,"0"
4030,5011,6,"0"
4030,5027,28,"0"
4030,5028,15,"0"
4030,5075,19,"0"
4030,5097,4,"0"
4030,5101,1,"0"
4031,3598,49,"0"
4031,4268,130,"0"
4031,4583,43,"0"
4031,4740,77,"0"
4031,4838,300,"0"
4031,4859,25,"0"
4031,4878,191,"0"
4031,4975,117,"0"
4031,5011,9,"0"
4031,5027,28,"0"
4031,5028,11,"0"
4031,5075,17,"0"
4031,5097,1,"0"
4031,5101,2,"0"
4032,3598,49,"0"
4032,4268,142,"0"
4032,4583,46,"0"
4032,4740,75,"0"
4032,4838,311,"0"
4032,4859,14,"0"
4032,4878,184,"0"
4032,4975,112,"0"
4032,5011,10,"0"
4032,5027,25,"0"
4032,5028,11,"0"
4032,5075,18,"0"
4032,5097,1,"0"
4032,5101,1,"0"
4032,5102,1,"0"
4033,3598,52,"0"
4033,4268,148,"0"
4033,4583,44,"0"
4033,4740,63,"0"
4033,4838,335,"0"
4033,4859,8,"0"
4033,4878,177,"0"
4033,4975,87,"0"
4033,5011,9,"0"
4033,5027,40,"0"
4033,5028,9,"0"
4033,5075,24,"0"
4033,5097,1,"0"
4033,5101,1,"0"
4033,5102,2,"0"
4034,3598,50,"0"
4034,4268,157,"0"
4034,4583,52,"0"
4034,4740,77,"0"
4034,4838,328,"0"
4034,4859,8,"0"
4034,4878,158,"0"
4034,4975,88,"0"
4034,5011,6,"0"
4034,5027,36,"0"
4034,5028,11,"0"
4034,5075,23,"0"
4034,5097,1,"0"
4034,5102,5,"0"
4035,3598,47,"0"
4035,4268,163,"0"
4035,4583,62,"0"
4035,4740,77,"0"
4035,4838,316,"0"
4035,4859,7,"0"
4035,4878,139,"0"
4035,4975,96,"0"
4035,5011,4,"0"
4035,5027,38,"0"
4035,5028,16,"0"
4035,5075,27,"0"
4035,5097,4,"0"
4035,5102,1,"0"
4035,5103,1,"0"
4035,5104,1,"0"
4035,5105,1,"0"
4036,3598,47,"0"
4036,4268,150,"0"
4036,4583,63,"0"
4036,4740,81,"0"
4036,4838,319,"0"
4036,4859,8,"0"
4036,4878,146,"0"
4036,4975,88,"0"
4036,5011,4,"0"
4036,5027,32,"0"
4036,5028,20,"0"
4036,5075,32,"0"
4036,5097,7,"0"
4036,5102,1,"0"
4036,5103,1,"0"
4036,5106,1,"0"
4037,3598,43,"0"
4037,4268,144,"0"
4037,4583,49,"0"
4037,4740,78,"0"
4037,4838,321,"0"
4037,4859,9,"0"
4037,4878,166,"0"
4037,4975,84,"0"
4037,5011,4,"0"
4037,5027,34,"0"
4037,5028,24,"0"
4037,5075,31,"0"
4037,5097,8,"0"
4037,5102,1,"0"
4037,5103,2,"0"
4037,5106,1,"0"
4037,5107,1,"0"
4038,3598,56,"0"
4038,4268,128,"0"
4038,4583,56,"0"
4038,4740,72,"0"
4038,4838,312,"0"
4038,4859,8,"0"
4038,4878,168,"0"
4038,4975,91,"0"
4038,5011,2,"0"
4038,5027,40,"0"
4038,5028,19,"0"
4038,5075,32,"0"
4038,5097,9,"0"
4038,5103,2,"0"
4038,5106,3,"0"
4038,5108,1,"0"
4038,5109,1,"0"
4039,3598,58,"0"
4039,4268,134,"0"
4039,4583,61,"0"
4039,4740,73,"0"
4039,4838,319,"0"
4039,4859,8,"0"
4039,4878,154,"0"
4039,4975,96,"0"
4039,5027,35,"0"
