,added,killed
0,0,0
1,679,884
2,562,797
3,106,663
4,491,193
5,558,941
6,491,715
7,474,726
8,334,110
9,75,452
10,662,826
11,627,140
12,887,301
13,137,72
14,161,307
15,624,733
16,654,562
17,717,846
18,55,250
19,845,394
20,509,851
21,684,823
22,867,183
23,297,676
24,53,976
25,543,500
26,569,205
27,735,367
28,136,402
29,504,208
30,653,902
31,71,482
32,95,293
33,544,321
34,1,710
35,698,373
36,130,408
37,547,533
38,54,751
39,407,72
40,132,844
41,284,130
42,481,137
43,269,883
44,616,724
45,585,137
46,103,941
47,684,287
48,709,956
49,375,152
50,950,71
51,961,866
52,228,389
53,296,715
54,716,585
55,826,54
56,885,945
57,133,451
58,620,709
59,129,709
60,526,666
61,324,693
62,682,485
63,435,493
64,414,214
65,934,149
66,350,64
67,906,494
68,651,510
69,893,723
70,504,398
71,764,14
72,557,543
73,301,458
74,713,469
75,458,867
76,301,133
77,653,430
78,591,350
79,619,850
80,417,146
81,653,233
82,983,725
83,845,895
84,440,756
85,642,837
86,893,674
87,102,510
88,185,30
89,1000,354
90,961,375
91,624,301
92,893,481
93,558,542
94,516,574
95,451,883
96,546,961
97,356,152
98,141,429
99,884,603
100,233,771
101,268,773
102,134,696
103,158,549
104,104,342
105,564,560
106,238,254
107,795,956
108,470,490
109,626,911
110,242,593
111,437,764
112,55,35
113,183,587
114,716,583
115,845,152
116,883,324
117,842,841
118,840,91
119,796,281
120,437,952
121,148,324
122,546,26
123,12,373
124,728,649
125,916,103
126,158,532
127,603,796
128,18,755
129,219,532
130,204,223
131,418,437
132,665,506
133,559,4
134,302,199
135,125,348
136,621,603
137,728,4
138,120,902
139,642,76
140,304,250
141,356,956
142,901,620
143,185,505
144,543,884
145,302,375
146,387,803
147,226,838
148,906,840
149,284,542
150,293,326
151,947,905
152,917,691
153,206,104
154,414,950
155,884,226
156,519,867
157,681,431
158,706,393
159,429,36
160,184,906
161,308,771
162,627,544
163,516,647
164,658,784
165,92,975
166,603,900
167,591,173
168,37,329
169,988,474
170,215,692
171,716,390
172,612,569
173,324,58
174,779,233
175,293,888
176,677,271
177,882,649
178,130,129
179,176,227
180,658,163
181,833,560
182,785,218
183,902,396
184,275,950
185,201,784
186,883,658
187,881,519
188,485,689
189,414,657
190,173,37
191,418,594
192,721,6
193,891,84
194,660,603
195,144,437
196,55,867
197,325,491
198,841,324
199,999,978
200,753,785
201,551,36
202,519,454
203,499,334
204,710,301
205,506,727
206,152,20
207,422,667
208,661,932
209,727,266
210,723,950
211,292,956
212,709,337
213,132,494
214,888,247
215,887,289
216,542,732
217,534,150
218,658,549
219,887,858
220,673,506
221,661,684
222,504,70
223,714,324
224,576,437
225,132,290
226,701,95
227,260,242
228,65,494
229,591,79
230,58,117
231,621,302
232,603,418
233,113,190
234,654,284
235,653,603
236,762,356
237,973,178
238,660,779
239,658,751
240,925,723
241,399,375
242,297,656
243,474,665
244,36,152
245,484,398
246,893,152
247,654,451
248,843,132
249,126,893
250,647,888
251,354,622
252,398,25
253,204,532
254,647,846
255,859,603
256,727,900
257,184,691
258,622,347
259,275,562
260,426,906
261,716,840
262,895,882
263,155,663
264,653,367
265,10,102
266,797,653
267,517,895
268,152,519
269,268,785
270,562,662
271,303,844
272,526,435
273,885,761
274,650,716
275,89,974
276,418,916
277,238,527
278,155,698
279,908,636
280,982,37
281,110,260
282,161,422
283,36,343
284,399,950
285,25,837
286,684,716
287,950,848
288,779,398
289,451,136
290,183,470
291,751,646
292,709,326
293,458,211
294,763,357
295,642,849
296,578,779
297,321,543
298,10,152
299,172,217
300,795,130
301,440,337
302,941,269
303,15,576
304,515,414
305,941,431
306,751,199
307,286,498
308,797,270
309,183,506
310,848,863
311,407,302
312,908,194
313,407,627
314,889,975
315,842,670
316,182,696
317,546,218
318,692,104
319,254,724
320,716,579
321,91,144
322,71,238
323,281,274
324,848,877
