,added,killed
0,0,0
1,244,757
2,827,455
3,780,616
4,85,880
5,56,767
6,161,446
7,22,553
8,330,185
9,328,771
10,733,986
11,593,464
12,136,520
13,106,909
14,431,879
15,621,970
16,249,935
17,868,748
18,255,994
19,45,265
20,946,641
21,849,431
22,409,790
23,85,109
24,793,457
25,65,405
26,446,516
27,638,172
28,646,218
29,158,165
30,181,533
31,380,610
32,680,23
33,568,400
34,116,294
35,503,687
36,176,79
37,493,346
38,842,426
39,458,125
40,61,56
41,777,723
42,345,34
43,869,291
44,997,437
45,345,336
46,742,781
47,134,423
48,222,889
49,120,887
50,428,520
51,818,646
52,983,143
53,82,336
54,219,581
55,842,775
56,706,800
57,459,887
58,845,119
59,145,490
60,352,325
61,387,760
62,475,704
63,650,360
64,733,936
65,32,868
66,384,446
67,828,536
68,409,621
69,795,557
70,74,62
71,362,209
72,61,951
73,923,434
74,692,339
75,853,236
76,375,979
77,380,733
78,914,742
79,803,327
80,960,158
81,618,845
82,462,393
83,171,298
84,227,650
85,103,733
86,869,877
87,815,290
88,434,357
89,907,756
90,746,364
91,114,566
92,4,845
93,243,140
94,751,877
95,315,493
96,969,359
97,612,252
98,216,187
99,443,992
100,526,119
101,654,399
102,61,705
103,22,638
104,387,775
105,751,384
106,81,324
107,342,796
108,132,969
109,402,259
110,941,314
111,377,789
112,344,347
113,227,922
114,817,260
115,542,381
116,944,636
117,651,227
118,825,991
119,751,340
120,300,702
121,860,559
122,445,89
123,133,561
124,22,133
125,166,950
126,136,328
127,330,346
128,357,194
129,828,39
130,387,218
131,229,132
132,9,152
133,510,780
134,806,612
135,618,147
136,204,85
137,461,490
138,446,123
139,735,591
140,8,132
141,13,166
142,647,813
143,670,230
144,515,21
145,585,657
146,390,163
147,459,627
148,81,849
149,231,94
150,243,342
151,171,732
152,957,233
153,219,26
154,845,306
155,793,526
156,499,354
157,311,869
158,248,900
159,300,568
160,181,256
161,227,941
162,313,784
163,32,123
164,526,461
165,544,399
166,804,647
167,778,53
168,379,515
169,739,780
170,22,43
171,458,446
172,419,50
173,208,434
174,634,612
175,200,34
176,379,45
177,144,260
178,219,61
179,304,610
180,243,501
181,662,276
182,537,630
183,708,203
184,158,751
185,99,318
186,830,116
187,957,806
188,810,727
189,692,106
190,416,804
191,548,14
192,92,458
193,963,544
194,835,935
195,72,986
196,286,680
197,345,461
198,798,828
199,248,315
200,40,366
201,22,145
202,504,654
203,444,31
204,798,212
205,193,300
206,550,827
207,45,200
208,459,669
209,749,81
210,379,935
211,957,618
212,134,74
213,328,382
214,671,116
215,405,72
216,941,482
217,647,526
218,663,810
219,944,841
220,311,612
221,848,470
222,538,222
223,550,944
224,174,426
225,334,257
226,4,357
227,49,53
228,699,868
229,990,688
230,444,992
231,458,167
232,315,413
233,462,883
234,61,40
235,579,622
236,244,638
237,187,793
238,638,557
239,139,702
240,449,345
241,811,832
242,72,944
243,419,272
244,748,862
245,735,230
246,304,265
247,551,842
248,176,281
249,487,710
250,548,544
251,647,798
252,986,847
253,946,232
254,671,783
255,92,812
256,845,404
257,106,503
258,985,930
259,706,424
260,522,419
261,502,429
262,864,778
263,231,427
264,365,654
265,840,647
266,772,244
267,871,20
268,997,442
269,835,4
270,526,634
271,772,418
272,798,883
273,704,855
274,417,45
275,641,186
276,445,327
277,708,311
278,607,907
279,459,551
280,240,626
281,423,766
282,623,216
283,941,976
284,627,61
285,995,204
286,965,504
287,342,445
288,134,137
289,623,428
290,201,248
291,682,762
292,445,181
293,234,158
294,304,32
295,591,450
296,978,566
297,267,986
298,4,136
299,843,91
300,795,538
301,969,315
302,521,285
303,330,334
304,537,843
305,114,874
306,860,416
307,248,181
308,1000,712
309,621,538
310,255,92
311,670,941
312,501,865
313,647,760
314,379,445
315,377,493
316,525,61
317,753,300
318,995,647
319,306,452
320,552,255
321,181,379
322,65,86
323,379,141
324,243,666
325,326,445
326,305,627
327,699,651
328,367,418
329,234,960
330,244,580
331,818,933
332,731,525
333,460,894
334,390,232
335,103,944
336,548,666
337,634,521
338,537,152
339,380,719
340,387,136
341,618,187
342,719,166
343,380,758
344,201,49
345,401,255
346,301,117
347,110,106
348,548,185
349,548,835
350,106,22
351,732,730
352,490,627
353,305,671
354,352,551
355,243,445
356,860,918
357,22,405
358,459,40
359,630,552
360,591,53
361,394,716
362,700,742
363,860,482
364,510,249
365,315,241
366,560,300
367,176,8
368,81,30
369,568,388
370,933,798
371,646,548
372,878,322
373,806,47
374,909,482
