,index,0
0,1,1
1,2,2
2,3,1
3,4,3
4,6,1
5,7,1
6,8,1
7,9,2
8,11,3
9,12,3
10,13,1
11,15,1
12,16,4
13,17,2
14,19,1
15,21,1
16,22,2
17,23,1
18,24,1
19,26,3
20,27,2
21,29,1
22,30,1
23,33,1
24,34,2
25,35,2
26,38,3
27,39,1
28,40,3
29,41,1
30,42,1
31,45,1
32,46,5
33,47,2
34,49,3
35,52,4
36,53,1
37,54,1
38,55,1
39,56,4
40,57,1
41,59,2
42,60,3
43,61,1
44,63,1
45,64,1
46,66,1
47,67,1
48,68,2
49,69,1
50,70,2
51,78,3
52,79,2
53,80,1
54,82,5
55,83,2
56,84,3
57,86,2
58,87,1
59,88,1
60,89,2
61,90,1
62,91,2
63,95,3
64,97,1
65,98,1
66,99,2
67,101,1
68,103,2
69,104,4
70,105,2
71,107,1
72,108,2
73,110,2
74,112,1
75,113,1
76,115,1
77,116,1
78,117,1
79,123,3
80,124,3
81,125,1
82,126,1
83,127,1
84,128,2
85,130,1
86,131,3
87,132,2
88,133,1
89,137,2
90,138,2
91,139,1
92,140,2
93,141,1
94,142,1
95,145,2
96,147,1
97,149,1
98,150,2
99,151,2
100,152,2
101,156,1
102,157,1
103,158,1
104,162,1
105,165,4
106,166,2
107,168,1
108,169,1
109,170,1
110,171,1
111,172,2
112,175,1
113,177,1
114,179,3
115,180,2
116,181,2
117,183,3
118,184,2
119,185,2
120,187,1
121,188,1
122,189,3
123,191,1
124,194,1
125,195,1
126,196,1
127,197,1
128,198,3
129,201,3
130,202,2
131,204,2
132,205,1
133,206,1
134,207,1
135,208,4
136,210,4
137,211,1
138,212,1
139,216,1
140,218,4
141,219,1
142,224,2
143,225,1
144,226,1
145,228,1
146,230,1
147,231,2
148,232,1
149,233,3
150,234,1
151,238,1
152,239,2
153,241,2
154,242,1
155,243,2
156,244,1
157,246,1
158,251,2
159,252,1
160,253,3
161,254,4
162,255,2
163,257,2
164,258,2
165,259,2
166,261,1
167,264,2
168,265,2
169,266,4
170,269,1
171,270,1
172,272,3
173,273,1
174,274,2
175,275,2
176,276,1
177,277,3
178,279,2
179,281,1
180,282,1
181,283,1
182,284,2
183,285,1
184,286,1
185,287,1
186,289,1
187,290,2
188,291,1
189,292,1
190,293,1
191,298,2
192,299,2
193,300,1
194,301,2
195,303,1
196,306,1
197,308,2
198,310,1
199,312,1
200,313,2
201,315,1
202,316,1
203,317,2
204,318,3
205,320,2
206,321,1
207,322,1
208,324,1
209,325,3
210,327,1
211,328,2
212,329,1
213,330,2
214,331,1
215,336,1
216,337,1
217,338,2
218,339,1
219,340,1
220,346,1
221,350,1
222,351,1
223,352,1
224,353,1
225,354,1
226,356,1
227,357,1
228,359,1
229,360,2
230,361,1
231,362,2
232,363,1
233,364,2
234,366,2
235,367,2
236,371,1
237,372,3
238,373,1
239,374,1
240,376,1
241,378,2
242,379,3
243,380,2
244,383,1
245,384,2
246,385,2
247,386,1
248,387,2
249,389,1
250,390,3
251,392,2
252,393,1
253,395,1
254,396,1
255,398,1
256,399,1
257,401,1
258,402,2
259,403,1
260,407,2
261,411,2
262,412,2
263,413,3
264,414,4
265,416,3
266,417,1
267,420,1
268,421,2
269,424,1
270,425,1
271,429,1
272,431,1
273,433,2
274,434,1
275,435,2
276,436,3
277,438,1
278,439,1
279,441,3
280,442,1
281,443,1
282,444,1
283,446,1
284,447,1
285,449,1
286,451,1
287,452,2
288,454,1
289,455,1
290,456,2
291,458,1
292,462,1
293,465,2
294,468,1
295,469,1
296,470,1
297,471,1
298,473,3
299,474,1
300,475,1
301,476,1
302,477,1
303,478,2
304,479,1
305,484,1
306,485,1
307,486,1
308,487,2
309,488,2
310,490,2
311,491,1
312,492,1
313,493,1
314,494,1
315,495,2
316,496,2
317,497,1
318,499,1
319,502,1
320,503,1
