,added
0,0
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,2
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,2
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,2
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,2
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,2
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,2
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,2
217,1
218,3
219,1
220,2
221,1
222,1
223,1
224,1
225,1
226,2
227,1
228,1
229,1
230,1
231,1
232,1
233,2
234,1
235,1
236,1
237,1
238,1
239,1
240,2
241,1
242,1
243,1
244,1
245,1
246,2
247,1
248,1
249,1
250,1
251,1
252,1
253,2
254,2
255,1
256,2
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,2
267,1
268,1
269,1
270,2
271,2
272,2
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,2
284,1
285,1
286,1
287,1
288,2
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,2
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,2
307,1
308,2
309,1
310,2
311,1
312,2
313,2
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,2
326,1
327,1
328,1
329,2
330,1
331,3
332,1
333,1
334,1
335,1
336,2
337,1
338,1
339,1
340,1
341,2
342,1
343,1
344,2
345,1
346,1
347,1
348,2
349,1
350,3
351,2
352,2
353,2
354,1
355,1
356,2
357,1
358,1
359,2
360,1
361,1
362,2
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,2
374,1
375,2
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,2
385,1
386,1
387,2
388,2
389,2
390,1
391,2
392,2
393,1
394,1
395,1
396,2
397,2
398,1
399,2
400,2
401,2
402,1
403,2
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,2
414,2
415,2
416,2
417,1
418,2
419,1
420,1
421,1
422,2
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,2
438,3
439,1
440,1
441,1
442,1
443,1
444,2
445,3
446,2
447,1
448,1
449,1
450,1
451,2
452,1
453,2
454,1
455,1
456,1
457,2
458,1
459,1
460,2
461,2
462,1
463,2
464,1
465,2
466,1
467,2
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,2
477,1
478,1
479,1
480,2
481,1
482,2
483,1
484,1
485,1
486,1
487,1
488,1
489,2
490,1
491,1
492,1
493,1
494,1
495,2
496,2
497,1
498,2
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,2
508,2
509,1
510,1
511,1
512,1
513,2
514,1
515,1
516,2
517,2
518,2
519,2
520,1
521,2
522,1
523,2
524,1
525,2
526,2
527,1
528,1
529,3
530,2
531,1
532,1
533,1
534,2
535,2
536,1
537,1
538,2
539,1
540,1
541,1
542,1
543,1
544,2
545,2
546,2
547,1
548,1
549,1
550,2
551,1
552,2
553,2
554,1
555,2
556,1
557,1
558,1
559,1
560,1
561,2
562,2
563,1
564,1
565,2
566,2
567,1
568,2
569,2
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,2
578,2
579,1
580,1
581,1
582,1
583,1
584,2
585,1
586,2
587,2
588,1
589,1
590,1
591,2
592,2
593,1
594,1
595,2
596,2
597,1
598,1
599,1
600,1
601,1
602,1
603,2
604,1
605,1
606,2
607,1
608,1
609,2
610,1
611,1
612,2
613,2
614,1
615,1
616,1
617,1
618,2
619,1
620,2
621,2
622,1
623,1
624,1
625,1
626,1
627,2
628,1
629,2
630,3
631,1
632,2
633,1
634,2
635,1
636,1
637,1
638,2
639,1
640,1
641,1
642,1
643,1
644,2
645,1
646,1
647,2
648,2
649,2
650,2
651,1
652,1
653,1
654,1
655,3
656,1
657,2
658,2
659,1
660,1
661,3
662,1
663,2
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,2
673,1
674,1
675,1
676,1
677,1
678,1
679,2
680,1
681,2
682,1
683,2
684,2
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,2
693,2
694,1
695,1
696,1
697,1
698,2
699,1
700,2
701,2
702,1
703,2
704,1
705,2
706,2
707,1
708,1
709,1
710,1
711,1
712,2
713,1
714,1
715,2
716,1
717,2
718,2
719,2
720,1
721,1
722,1
723,1
724,2
725,2
726,1
727,1
728,1
729,2
730,1
731,2
732,2
733,1
734,2
735,1
736,2
737,2
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,2
747,1
748,2
749,2
750,1
751,1
752,1
753,2
754,1
755,2
756,2
757,2
758,2
759,1
760,1
761,1
762,2
763,2
764,2
765,1
766,2
767,1
768,1
769,2
770,2
771,1
772,1
773,1
774,2
775,1
776,1
777,2
778,1
779,1
780,1
781,1
782,1
783,1
784,2
785,1
786,1
787,2
788,1
789,1
790,2
791,2
792,2
793,1
794,1
795,1
796,1
797,2
798,1
799,1
800,2
801,1
802,1
803,1
804,2
805,1
806,1
807,2
808,1
809,2
810,2
811,1
812,2
813,1
814,1
815,1
816,2
817,3
818,1
819,1
820,1
821,2
822,1
823,1
824,1
825,1
826,1
827,2
828,2
829,2
830,1
831,1
832,2
833,1
834,1
835,2
836,1
837,1
838,1
839,2
840,1
841,2
842,2
843,1
844,1
845,2
846,2
847,1
848,2
849,1
850,1
851,1
852,1
853,1
854,1
855,2
856,1
857,3
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,2
868,1
869,2
870,1
871,2
872,2
873,1
874,1
875,2
876,1
877,1
878,1
879,2
880,2
881,1
882,1
883,2
884,2
885,1
886,3
887,1
888,2
889,1
890,1
891,2
892,1
893,1
894,2
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,2
908,3
909,2
910,1
911,1
912,1
913,2
914,1
915,1
916,1
917,3
918,1
919,1
920,1
921,1
922,2
923,1
924,1
925,1
926,2
927,1
928,2
929,2
930,1
931,2
932,1
933,1
934,1
935,1
936,3
937,1
938,1
939,2
940,1
941,2
942,2
943,1
944,1
945,1
946,1
947,3
948,2
949,1
950,1
951,2
952,1
953,1
954,1
955,1
956,1
957,1
958,2
959,1
960,2
961,1
962,2
963,2
964,2
965,1
966,3
967,1
968,2
969,1
970,1
971,2
972,1
973,2
974,1
975,1
976,1
977,3
978,1
979,2
980,1
981,1
982,2
983,3
984,1
985,2
986,1
987,1
988,1
989,3
990,1
991,1
992,2
993,2
994,1
995,1
996,1
997,1
998,2
999,2
1000,2
1001,1
1002,1
1003,1
1004,1
1005,1
1006,2
1007,1
1008,2
1009,2
1010,2
1011,1
1012,1
1013,1
1014,2
1015,2
1016,1
1017,3
1018,2
1019,1
1020,2
1021,1
1022,1
1023,2
1024,2
1025,1
1026,1
1027,2
1028,1
1029,1
1030,2
1031,1
1032,2
1033,1
1034,1
1035,2
1036,3
1037,2
1038,2
1039,3
1040,1
1041,1
1042,1
1043,3
1044,1
1045,1
1046,1
1047,1
1048,2
1049,2
1050,1
1051,1
1052,1
1053,1
1054,1
1055,2
1056,1
1057,2
1058,3
1059,2
1060,2
