,0,1,2
0,1.0,2.0,1.0
1,1.0,5.0,4.0
2,1.0,8.0,1.0
3,1.0,10.0,2.0
4,1.0,12.0,1.0
5,1.0,14.0,2.0
6,1.0,15.0,1.0
7,1.0,16.0,2.0
8,1.0,17.0,1.0
9,1.0,21.0,1.0
10,1.0,23.0,1.0
11,1.0,24.0,1.0
12,1.0,26.0,1.0
13,1.0,27.0,1.0
14,1.0,29.0,3.0
15,1.0,32.0,4.0
16,1.0,33.0,2.0
17,1.0,34.0,3.0
18,1.0,35.0,3.0
19,1.0,38.0,3.0
20,1.0,41.0,1.0
21,1.0,42.0,1.0
22,1.0,44.0,1.0
23,1.0,46.0,1.0
24,1.0,47.0,1.0
25,1.0,48.0,3.0
26,1.0,49.0,3.0
27,1.0,50.0,1.0
28,1.0,53.0,1.0
29,1.0,55.0,3.0
30,1.0,57.0,3.0
31,1.0,59.0,3.0
32,1.0,61.0,1.0
33,1.0,64.0,1.0
34,1.0,65.0,1.0
35,1.0,66.0,2.0
36,1.0,67.0,2.0
37,1.0,68.0,4.0
38,1.0,69.0,2.0
39,1.0,70.0,2.0
40,1.0,71.0,1.0
41,1.0,73.0,2.0
42,1.0,74.0,2.0
43,1.0,75.0,1.0
44,1.0,76.0,3.0
45,1.0,77.0,1.0
46,1.0,79.0,1.0
47,1.0,81.0,2.0
48,1.0,83.0,1.0
49,1.0,84.0,1.0
50,1.0,85.0,2.0
51,1.0,88.0,1.0
52,1.0,89.0,2.0
53,1.0,90.0,1.0
54,1.0,93.0,2.0
55,1.0,94.0,1.0
56,1.0,95.0,2.0
57,1.0,97.0,1.0
58,1.0,98.0,2.0
59,1.0,99.0,1.0
60,1.0,100.0,1.0
61,1.0,101.0,2.0
62,1.0,102.0,2.0
63,1.0,104.0,1.0
64,1.0,105.0,1.0
65,1.0,106.0,1.0
66,1.0,107.0,1.0
67,1.0,110.0,3.0
68,1.0,113.0,1.0
69,1.0,114.0,1.0
70,1.0,116.0,3.0
71,1.0,118.0,1.0
72,1.0,119.0,1.0
73,1.0,122.0,1.0
74,1.0,123.0,2.0
75,1.0,124.0,2.0
76,1.0,125.0,3.0
77,1.0,126.0,1.0
78,1.0,128.0,1.0
79,1.0,129.0,3.0
80,1.0,130.0,1.0
81,1.0,132.0,2.0
82,1.0,133.0,1.0
83,1.0,134.0,4.0
84,1.0,136.0,1.0
85,1.0,138.0,2.0
86,1.0,141.0,1.0
87,1.0,142.0,4.0
88,1.0,143.0,1.0
89,1.0,145.0,1.0
90,1.0,146.0,1.0
91,1.0,147.0,1.0
92,1.0,151.0,2.0
93,1.0,152.0,2.0
94,1.0,155.0,1.0
95,1.0,156.0,2.0
96,1.0,159.0,1.0
97,1.0,160.0,2.0
98,1.0,161.0,1.0
99,1.0,163.0,1.0
100,1.0,164.0,2.0
101,1.0,165.0,1.0
102,1.0,167.0,1.0
103,1.0,168.0,1.0
104,1.0,170.0,2.0
105,1.0,174.0,3.0
106,1.0,175.0,2.0
107,1.0,177.0,3.0
108,1.0,178.0,1.0
109,1.0,182.0,1.0
110,1.0,183.0,2.0
111,1.0,185.0,1.0
112,1.0,187.0,1.0
113,1.0,188.0,1.0
114,1.0,189.0,1.0
115,1.0,193.0,2.0
116,1.0,195.0,2.0
117,1.0,196.0,1.0
118,1.0,197.0,4.0
119,1.0,198.0,1.0
120,1.0,200.0,2.0
121,1.0,203.0,1.0
122,1.0,204.0,1.0
123,1.0,205.0,2.0
124,1.0,207.0,2.0
125,1.0,208.0,1.0
126,1.0,209.0,1.0
127,1.0,210.0,2.0
128,1.0,211.0,1.0
129,1.0,212.0,1.0
130,1.0,213.0,1.0
131,1.0,216.0,1.0
132,1.0,217.0,3.0
133,1.0,218.0,1.0
134,1.0,219.0,1.0
135,1.0,220.0,2.0
136,1.0,224.0,1.0
137,1.0,227.0,1.0
138,1.0,228.0,4.0
139,1.0,231.0,1.0
140,1.0,233.0,4.0
141,1.0,234.0,1.0
142,1.0,236.0,1.0
143,1.0,237.0,1.0
144,1.0,238.0,2.0
145,1.0,239.0,1.0
146,1.0,240.0,1.0
147,1.0,241.0,2.0
148,1.0,242.0,1.0
149,1.0,243.0,1.0
150,1.0,246.0,1.0
151,1.0,248.0,1.0
152,1.0,250.0,1.0
153,2.0,2.0,1.0
154,2.0,5.0,4.0
155,2.0,8.0,5.0
156,2.0,10.0,4.0
157,2.0,12.0,1.0
158,2.0,14.0,3.0
159,2.0,15.0,2.0
160,2.0,16.0,3.0
161,2.0,23.0,1.0
162,2.0,24.0,1.0
163,2.0,26.0,2.0
164,2.0,27.0,1.0
165,2.0,29.0,5.0
166,2.0,32.0,8.0
167,2.0,33.0,1.0
168,2.0,34.0,4.0
169,2.0,35.0,3.0
170,2.0,38.0,4.0
171,2.0,44.0,4.0
172,2.0,48.0,3.0
173,2.0,49.0,1.0
174,2.0,50.0,1.0
175,2.0,53.0,3.0
176,2.0,55.0,2.0
177,2.0,57.0,3.0
178,2.0,59.0,1.0
179,2.0,61.0,2.0
180,2.0,65.0,2.0
181,2.0,66.0,1.0
182,2.0,67.0,1.0
183,2.0,68.0,5.0
184,2.0,69.0,3.0
185,2.0,70.0,3.0
186,2.0,73.0,2.0
187,2.0,74.0,2.0
188,2.0,75.0,1.0
189,2.0,76.0,3.0
190,2.0,77.0,2.0
191,2.0,79.0,2.0
192,2.0,85.0,4.0
193,2.0,89.0,1.0
194,2.0,93.0,1.0
195,2.0,94.0,1.0
196,2.0,97.0,2.0
197,2.0,98.0,1.0
198,2.0,99.0,1.0
199,2.0,100.0,4.0
200,2.0,101.0,4.0
201,2.0,102.0,1.0
202,2.0,104.0,2.0
203,2.0,105.0,1.0
204,2.0,106.0,2.0
205,2.0,110.0,1.0
206,2.0,113.0,1.0
207,2.0,114.0,3.0
208,2.0,116.0,3.0
209,2.0,122.0,2.0
210,2.0,123.0,3.0
211,2.0,124.0,1.0
212,2.0,125.0,8.0
