,0,1,2
0,1.0,1.0,2.0
1,1.0,3.0,2.0
2,1.0,5.0,1.0
3,1.0,6.0,3.0
4,1.0,9.0,1.0
5,1.0,10.0,2.0
6,1.0,12.0,1.0
7,1.0,14.0,1.0
8,1.0,15.0,2.0
9,1.0,16.0,2.0
10,1.0,18.0,1.0
11,1.0,20.0,2.0
12,1.0,21.0,1.0
13,1.0,23.0,2.0
14,1.0,25.0,1.0
15,1.0,26.0,1.0
16,1.0,27.0,1.0
17,1.0,29.0,2.0
18,1.0,31.0,1.0
19,1.0,32.0,2.0
20,1.0,35.0,1.0
21,1.0,36.0,2.0
22,1.0,38.0,3.0
23,1.0,39.0,2.0
24,1.0,40.0,3.0
25,1.0,41.0,2.0
26,1.0,42.0,1.0
27,1.0,43.0,1.0
28,1.0,46.0,1.0
29,1.0,47.0,2.0
30,1.0,49.0,3.0
31,1.0,50.0,1.0
32,1.0,51.0,1.0
33,1.0,52.0,1.0
34,1.0,54.0,3.0
35,1.0,55.0,3.0
36,1.0,56.0,2.0
37,1.0,58.0,1.0
38,1.0,60.0,2.0
39,1.0,62.0,2.0
40,1.0,63.0,1.0
41,1.0,64.0,1.0
42,1.0,65.0,1.0
43,1.0,67.0,1.0
44,1.0,69.0,2.0
45,1.0,70.0,2.0
46,1.0,72.0,1.0
47,1.0,75.0,2.0
48,1.0,76.0,1.0
49,1.0,77.0,1.0
50,1.0,78.0,2.0
51,1.0,80.0,3.0
52,1.0,81.0,1.0
53,1.0,83.0,1.0
54,1.0,86.0,2.0
55,1.0,87.0,1.0
56,1.0,89.0,1.0
57,1.0,90.0,2.0
58,1.0,91.0,2.0
59,1.0,92.0,2.0
60,1.0,93.0,1.0
61,1.0,94.0,2.0
62,1.0,96.0,1.0
63,1.0,98.0,2.0
64,1.0,101.0,1.0
65,1.0,102.0,1.0
66,1.0,103.0,1.0
67,1.0,104.0,2.0
68,1.0,105.0,1.0
69,1.0,107.0,1.0
70,1.0,108.0,1.0
71,1.0,110.0,1.0
72,1.0,111.0,1.0
73,1.0,112.0,1.0
74,1.0,113.0,3.0
75,1.0,115.0,1.0
76,1.0,116.0,1.0
77,1.0,119.0,1.0
78,1.0,120.0,2.0
79,1.0,124.0,2.0
80,1.0,125.0,1.0
81,1.0,126.0,4.0
82,1.0,127.0,2.0
83,1.0,128.0,2.0
84,1.0,133.0,1.0
85,1.0,135.0,1.0
86,1.0,138.0,4.0
87,1.0,139.0,3.0
88,1.0,141.0,2.0
89,1.0,144.0,1.0
90,1.0,145.0,2.0
91,1.0,146.0,1.0
92,1.0,147.0,1.0
93,1.0,149.0,2.0
94,1.0,150.0,2.0
95,1.0,152.0,1.0
96,1.0,153.0,1.0
97,1.0,154.0,1.0
98,1.0,155.0,2.0
99,1.0,156.0,2.0
100,1.0,158.0,2.0
101,1.0,159.0,1.0
102,1.0,161.0,1.0
103,1.0,162.0,2.0
104,1.0,163.0,2.0
105,1.0,164.0,1.0
106,1.0,165.0,2.0
107,1.0,166.0,1.0
108,1.0,167.0,5.0
109,1.0,168.0,2.0
110,1.0,169.0,3.0
111,1.0,171.0,2.0
112,1.0,173.0,1.0
113,1.0,174.0,1.0
114,1.0,176.0,4.0
115,1.0,178.0,2.0
116,1.0,179.0,1.0
117,1.0,180.0,1.0
118,1.0,183.0,1.0
119,1.0,186.0,2.0
120,1.0,189.0,1.0
121,1.0,190.0,1.0
122,1.0,192.0,1.0
123,1.0,193.0,1.0
124,1.0,194.0,2.0
125,1.0,195.0,1.0
126,1.0,197.0,1.0
127,1.0,199.0,1.0
128,1.0,200.0,3.0
129,1.0,201.0,2.0
130,1.0,203.0,3.0
131,1.0,204.0,2.0
132,1.0,206.0,1.0
133,1.0,207.0,1.0
134,1.0,210.0,1.0
135,1.0,212.0,1.0
136,1.0,213.0,1.0
137,1.0,215.0,1.0
138,1.0,216.0,1.0
139,1.0,218.0,2.0
140,1.0,219.0,1.0
141,1.0,221.0,1.0
142,1.0,222.0,1.0
143,1.0,223.0,1.0
144,1.0,229.0,3.0
145,1.0,230.0,1.0
146,1.0,231.0,1.0
147,1.0,232.0,1.0
148,1.0,234.0,1.0
149,1.0,235.0,3.0
150,1.0,236.0,3.0
151,1.0,238.0,1.0
152,1.0,241.0,1.0
153,1.0,243.0,1.0
154,1.0,245.0,1.0
155,1.0,247.0,1.0
156,1.0,248.0,1.0
157,1.0,250.0,1.0
158,2.0,1.0,3.0
159,2.0,3.0,1.0
160,2.0,5.0,1.0
161,2.0,6.0,2.0
162,2.0,10.0,3.0
163,2.0,14.0,1.0
164,2.0,15.0,3.0
165,2.0,16.0,1.0
166,2.0,20.0,3.0
167,2.0,23.0,6.0
168,2.0,25.0,1.0
169,2.0,26.0,1.0
170,2.0,29.0,3.0
171,2.0,32.0,2.0
172,2.0,35.0,3.0
173,2.0,36.0,2.0
174,2.0,38.0,2.0
175,2.0,40.0,3.0
176,2.0,41.0,1.0
177,2.0,42.0,1.0
178,2.0,46.0,1.0
179,2.0,47.0,1.0
180,2.0,51.0,1.0
181,2.0,52.0,3.0
182,2.0,54.0,3.0
183,2.0,55.0,7.0
184,2.0,58.0,2.0
185,2.0,60.0,1.0
186,2.0,63.0,1.0
187,2.0,64.0,3.0
188,2.0,65.0,1.0
189,2.0,67.0,1.0
190,2.0,70.0,2.0
191,2.0,72.0,4.0
192,2.0,75.0,2.0
193,2.0,76.0,2.0
194,2.0,78.0,2.0
195,2.0,80.0,3.0
196,2.0,86.0,2.0
197,2.0,87.0,1.0
198,2.0,91.0,3.0
199,2.0,92.0,1.0
200,2.0,93.0,1.0
201,2.0,94.0,2.0
202,2.0,96.0,4.0
203,2.0,101.0,2.0
204,2.0,102.0,3.0
205,2.0,104.0,3.0
206,2.0,108.0,1.0
207,2.0,111.0,1.0
208,2.0,112.0,1.0
209,2.0,113.0,5.0
210,2.0,115.0,3.0
211,2.0,116.0,2.0
212,2.0,119.0,3.0
213,2.0,120.0,1.0
214,2.0,124.0,2.0
215,2.0,126.0,1.0
216,2.0,128.0,1.0
217,2.0,133.0,3.0
218,2.0,135.0,2.0
219,2.0,138.0,2.0
220,2.0,141.0,3.0
221,2.0,144.0,1.0
222,2.0,145.0,1.0
223,2.0,146.0,2.0
224,2.0,147.0,1.0
225,2.0,149.0,1.0
226,2.0,150.0,2.0
227,2.0,152.0,1.0
228,2.0,154.0,1.0
229,2.0,155.0,2.0
230,2.0,156.0,2.0
231,2.0,158.0,2.0
232,2.0,161.0,3.0
233,2.0,162.0,1.0
234,2.0,163.0,2.0
235,2.0,165.0,1.0
236,2.0,166.0,1.0
237,2.0,167.0,3.0
238,2.0,168.0,2.0
239,2.0,169.0,5.0
240,2.0,171.0,3.0
241,2.0,174.0,2.0
242,2.0,176.0,2.0
243,2.0,178.0,1.0
244,2.0,183.0,5.0
245,2.0,186.0,4.0
246,2.0,193.0,1.0
247,2.0,194.0,4.0
248,2.0,195.0,2.0
249,2.0,197.0,1.0
250,2.0,200.0,5.0
251,2.0,201.0,4.0
